Teachers,ID,Passwrds,Emails,,,,,,,,,,,
M.Ishtiaq,15I-2052,W8lWWn,15I2052@nu.edu.pk,1,0,0,,,,,,,,
Ansa Liaquat,15I-2053,21TaKLv,15I2053@nu.edu.pk,0,1,0,,,,,,,,
Adil Majeed,15I-2054,30CgfUu,15I2054@nu.edu.pk,0,0,1,,,,,,,,
Hassan Raza,15I-2055,4omvTZ3,15I2055@nu.edu.pk,0,0,1,,,,,,,,
Hassan Mujtaba,15I-2056,5Q6ACkk,15I2056@nu.edu.pk,0,1,0,,,,,,,,
Majid,15I-2057,6f7QqXR,15I2057@nu.edu.pk,1,0,0,,,,,,,,
Liaquat,15I-2058,7Vc3CMe,15I2058@nu.edu.pk,0,1,0,,,,,,,,
Ali raza,15I-2059,8YLi6O7,15I2059@nu.edu.pk,0,0,1,,,,,,,,
Laraib Afzaal,15I-2060,9X2LtS8,15I2060@nu.edu.pk,0,1,0,,,,,,,,
Momal,15I-2061,107XdMb3,15I2061@nu.edu.pk,1,0,0,,,,,,,,
Ushna,15I-2062,11R3DAfg,15I2062@nu.edu.pk,0,1,0,,,,,,,,
